problem,reasoning,program,error
Resource allocation: Minimize the number of printers used,"Using QF_UF and QF_LIA constraints, prove that it is not possible to allocate enough printers to satisfy all user requests without exceeding the available capacity.",satisfy-all\n\ndefine-const P printer_id\ndefine-constraint printer_usage printer_id\nassert greater-than-or-equal-to P (2 * number_of_users)\nassert less-than-or-equal-to P (1000) \ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
Resource Allocation Problem,Use QF_UF or QF_LIA theory to reason about resource constraints.,int x \n (x > 0) \n (x + y <= 10)\n (y > 0) \n (check-sat),Missing required SMT-LIB components (declare-const/fun and assert)
Resource Allocation Problem,Use QF_UF and QF_LIA constraints to model resource allocation.,set-logic QF_UF;\n\ndeclare-const x : INT;\ndeclare-const y : INT;\nassert z = x + y;\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
Resource Allocation Problem,Use a satisfiability solver to verify that a valid integer solution exists.,int x y z; (set-logic QF_UF\n  (declare-const x 0)\n  (declare-const y 1)\n  (declare-const z 2)\n  (assert (>= x y) && (<= y x))\n  (check-sat),Unbalanced parentheses
Resource allocation problem,Use the QF_UF and QF_LIA logics to model the resource allocation problem.,\begin{qf uf}\declare-const x : int;\declare-const y : int;\assert x <= y;\check-sat;,Missing required SMT-LIB components (declare-const/fun and assert)
{'smtplib': 'int(x) <= x + 1'},Satisfiability with constraints (set-logic QF_UF; assert x > 0; check-sat),declare-x int;\n(declare const y int);\nassert(y = x + 1);,Missing required SMT-LIB components (declare-const/fun and assert)
Resource allocation problem,This problem involves allocating resources to tasks with different priorities and constraints.,\text{SMT-LIB code here},Missing required SMT-LIB components (declare-const/fun and assert)
Resource allocation: Assign 5 people to 3 teams with no overlaps,Use QF_UF and QF_LIA constraints to model this problem.,(set-logic QF_UF)\n\n(set-logic QF_LIA)\n\n(declare-const p1 int)\n(declare-const p2 int)\n(declare-const p3 int)\n(assert (<= p1 5)\n(<= p2 5)\n(<= p3 5))\n(check-sat),Multiple set-logic declarations (2)
Resource Allocation Problem,"To allocate resources efficiently, we need to minimize waste and maximize utilization of available resources.",\n\n\n(\n  \n    \n      \n        \n          \n          \n        \n      \n    \n      \n    \n      \n          \n         \n       \n      \n          \n\n      \n\n  \n    \n      \n    \n      \n    \n      \n      \n    \n      \n\n(\n  \n    \n    \n    \n    \n  \n),Missing required SMT-LIB components (declare-const/fun and assert)
Resource Allocation Problem,Use QF_UF and QF_LIA to model resource allocation problems.,using set-logic QF_UF; using set-logic QF_LIA;\n\ndeclare-const R : int > true;\ndeclare-const C : bool > true;\nassert x : R = true;\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
Resource Allocation Problem,Use QF_UF or QF_LIA to represent resource allocation constraints.,\[set-logic QF_UF\n\[declare-const x: bool \n\[declare-const y: int \n\[assert x = true\n\[check-sat\]]\],Missing required SMT-LIB components (declare-const/fun and assert)
Resource Allocation Problem,Use QF_UF and QF_LIA constraints to represent the resource allocation problem.,\n\n(\n  \n    (set-logic QF_UF)\n  \n);\n(\n    \n      (declare-const \n        X: \n          int \n          \n);\n      (declare-const \n        Y: \n          bool \n          \n);\n      (assert \n        (forall \n          (x: \n            (X <= x) \n          ) \n &> 0))\n(\n    \n      (check-sat),Unbalanced parentheses
Resource Allocation,Use QF_UF and QF_LIA rules to model resource allocation problems,declare-variable x 0\nassert (x > 0)\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
Resource allocation problem: Ensure that the minimum number of resources required to satisfy all constraints is achieved,Use QF_UF and QF_LIA rules to reason about the satisfiability of the given constraints.,\(set-logic QF_UF\) \(declare-const x : Integer\) \(declare-const y : Integer\) \(assert (x = 0) \(y = 1) \(check-sat),Unbalanced parentheses
Resource allocation problem,Use QF_UF and QF_LIA rules to model the resource allocation problem.,\n\n\n% \n\n(\n  set-logic QF_UF \n  \n  declare-const x : integer \n  \n  assert (x > 0) \n\n(\n  set-logic QF_LIA \n  \n  declare-const y : boolean \n  \n  assert (y = true) \n\n(\n  assert (x + y = 10) \n\n),Missing required SMT-LIB components (declare-const/fun and assert)
Resource Allocation,"{'type': 'model-checking', 'description': 'Verify that a resource allocation model satisfies QF_UF and QF_LIA constraints.'}",smt2,Program too short
Resource Allocation Problem,Use set-logic QF_UF and declare-const to specify resource allocation constraints.,# Use check-sat to verify the satisfiability of the program\n\ncheck-sat ; Verify that the program is satisfiable,Missing required SMT-LIB components (declare-const/fun and assert)
Resource Allocation Problem,This problem involves finding an optimal assignment of resources to tasks.,"\n(\n  \n    \n    (set-logic QF_UF)\n  \n    \n    (declare-const \n      x : INTEGER, y : INTEGER, z : BOOLEAN, w : INTEGER)\n  \n    \n    (assert (<= x 10))\n  \n    \n    (assert (<= y 20))\n  \n    \n    (assert (<= z 1))\n  \n    \n    (assert (>= w 0))\n  \n    \n    (check-sat)",Unbalanced parentheses
Resource Allocation,Use QF_UF and QF_LIA rules to formulate a valid resource allocation problem.,set-logic QF_UF\n\n\ndefine-const R1 0\n\nassert (R1 > 0) \ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
Resource Allocation,"Use QF_UF and QF_LIA solvers, and assert that the program produces exactly one solution.",\n\n\n( set-logic QF_UF \n\n( declare-const X int : > 0 \n); \n\n( declare-const Y int : > 1 \n); \n\n( assert ( X + Y = 2 ) \n); \n\n( check-sat ); \n\n),Missing required SMT-LIB components (declare-const/fun and assert)
Resource allocation: Maximize production of 5 units while minimizing waste,"Using QF_LIA and set-logic QF_UF, the following constraints can be derived.",\u[0;5\u{20}\u{220}]\n(\u[0;3\u{20}]]^*\u{220})\n((\u[1;2\u{20}]]^*\u{220})\n- (\u[3;4\u{20}]]^*\u{220}))\n(\u[5;6\u{20}]\u{220})(\u[7;8\u{20}]]^*),Missing required SMT-LIB components (declare-const/fun and assert)
{'input': '\\(set-logic QF_UF\\) \\n \\n (declare-const x Int\\n \\n assert (x = 0)\n \\n check-sat)'},This SMT-LIB program checks if a number is zero,smt2-assertions.pl,Program too short
Resource Allocation Problem,Use QF_UF and QF_LIA to model this problem and ensure validity.,set-logic QF_UF\ndeclare-const R1: int > 0;\nassert R1 >= 1;\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
Resource allocation problem: assigning 10 units of CPU to process 1 and 5 units to process 2,Use QF_UF and QF_LIA constraints to model the resource allocation problem. Ensure that the total number of units allocated is exactly 15.,set-logic QF_UF\nset-logic QF_LIA\ndeclare-const cpu_units: Int\nassert (cpu_units = 10)\nassert (cpu_units + cpu_units = 15),Missing required SMT-LIB components (declare-const/fun and assert)
Resource Allocation: 3 cars and 4 passengers,Use QF_UF and set-logic to ensure that each passenger has at least one seat,set-logic QF_UF\ndeclare-const car1 id : integer\ndeclare-const car2 id : integer\ndeclare-const car3 id : integer\ndeclare-const passenger1 id : integer\ndeclare-const passenger2 id : integer\ndeclare-const passenger3 id : integer\ndeclare-const seat1 available : boolean\ndeclare-const seat2 available : boolean\ndeclare-const seat3 available : boolean,Missing required SMT-LIB components (declare-const/fun and assert)
Resource allocation optimization,Use QF_UF and QF_LIA constraints to model resource allocation problems.,set-logic QF_UF;\n\ndeclare-const x : integer > 0;\n\nassert y = x * 2;\n\ncheck-sat;,Missing required SMT-LIB components (declare-const/fun and assert)
Resource allocation,Use QF_UF and assert/declare/check-sat to model resource allocation.,set-logic QF_UF;\n\ndeclare-const x : bool;\n\nassert (\n  \n    x <= 10 \n  \n    y > 0 \n);,Missing required SMT-LIB components (declare-const/fun and assert)
Resource Allocation Problem,"(set-logic QF_UF) (declare-const x (int)) (assert (not (= 2, 0))) (check-sat)",\u03b2((\x_1 \leq 3) \\ (\x_2 \geq 5) \| (\x_1 + \x_2 = x)),Missing required SMT-LIB components (declare-const/fun and assert)
Resource Allocation Problem,Use QF_UF or QF_LIA to specify the resource allocation model.,satisfying (set-logic QF_UF)\n\ndefine-const :resource 5\nassert :allocated 3\nassert :available 2\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
Resource allocation: Ensure that the minimum number of units required to satisfy all resource constraints is met,"Use QF_UF and QF_LIA to reason about the satisfiability of the program, and check for validity using SMT solver.",\(\set-logic QF_UF \set-logic QF_LIA \begin{model} \var x: integer > 0 \var y: boolean \assert (x = 1) \declare-const z: integer < x + y \check-sat \end{model},Missing required SMT-LIB components (declare-const/fun and assert)
Resource allocation problem,Use QF_UF with assert statements to model this problem.,set-logic QF_UF\ndeclare-const x int\nassert x = 0\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
Resource Allocation,Use QF_UF and QF_LIA rules to ensure feasibility.,(set-logic QF_UF\n (declare-const x 1 : B)\n (declare-const y 2 : U)),Missing required SMT-LIB components (declare-const/fun and assert)
"Resource allocation problem: 5 agents, each with capacity 2 and deadline 10",Use QF_UF and QF_LIA rules to prove existence of a solution that satisfies all constraints,"\n(\n  (set-logic QF_UF)\n  (declare-const agents \n    (int))\n  (assert (\n    agents \n      (forall \n        (agent i) \n          (set-logic QF_LIA) \n          (assert (<= 2 (card (agent i))) && \n            (assert (>= 0 (duration (agent i))))))\n  )\n(\n  (declare-const deadline agents \n    (int))\n  (assert (\n    deadline \n      (forall \n        (agent i) \n          (assert (<= 10 (duration (agent i)))))\n    ))\n  )\n(\n  (declare-const capacity agents \n    (int))\n  (assert (\n    capacity \n      (forall \n        (agent i) \n          (assert (>= 0 (capacity (agent i)))) && \n          (assert (<= 2 (capacity (agent i)))))\n    ))\n(\n  (declare-const agent i \n   (int))\n  (assert (\n    agent \n      (forall \n        (x : agents) \n          (assert (card (x, i)) = 1))\n    ))\n)",Unbalanced parentheses; Multiple set-logic declarations (2)
Resource Allocation Problem,ρ - {set-logic QF_UF         assert (2 > 0)},\u03b5\n  \u03b8 = 2\n  \u03d7 = 3\n  \u03a9 + \u03c4 = 5,Missing required SMT-LIB components (declare-const/fun and assert)
Resource allocation problem,Use QF_UF and QF_LIA rules to solve this optimization problem.,declare-const x : nat;\n\ndeclare-const y : bool;\n\nassert z = true;\n\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
Resource Allocation Problem,Use QF_UF and QF_LIA solvers with simple integer constraints to model this problem.,\n,Program too short
"A woman has two coins that total 30 cents. One coin is not a nickel, and one coin is not a quarter. What type of coin are they?","To solve this problem, we can use QF_UF (Universal First-Order Formula) to represent the given constraints. We need to find two integers x and y such that x + y = 30, x is not equal to 5 (nickel), and y is not equal to 10 (quarter).",set-logic QF_UF\ndeclare-const x : int\ndeclare-const y : int\nassert x + y = 30\nassert x != 5\nassert y != 10,Missing required SMT-LIB components (declare-const/fun and assert)
Solve for x: 2*x + 5 = 11,Use QF_LIA and set-logic to model this equation as an equality of integer constraints.,set-logic QF_UF\ndeclare-const x int\nassert (x > 0)\nassert (2*x + 5 = 11),Missing required SMT-LIB components (declare-const/fun and assert)
"A farmer has a field with 3 rows and 4 columns. Each cell can hold either an integer from 1 to 10, inclusive.","{   (set-logic QF_UF)   (declare-const row1 int   row2 int   row3 int),   (declare-const col1 int   col2 int   col3 int),   (assert (>= row1 1)            (<= row1 10))   (assert (>= row2 1)            (<= row2 10))   (assert (>= col1 1)            (<= col1 4))   (assert (>= col2 1)            (<= col2 3))   (assert (>= col3 1)            (<= col3 4))   (check-sat)}",smt2\n  set-logic QF_UF;\n  declare-const row1 int;\n  declare-const row2 int;\n  declare-const row3 int;\n  declare-const col1 int;\n  declare-const col2 int;\n  declare-const col3 int;,Missing required SMT-LIB components (declare-const/fun and assert)
3+2=5,"Using QF_LIA, we can assert that the sum of two integers less than or equal to 10 is greater than 1 and less than or equal to 15.",set-logic QF_UF\nset-logic quantifier\ndeclare-const x : int > 0\nassert (x + 2 <= 10) > 1 & (x + 2 >= 1)\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
Solve for x: 2*x + 5 = 11,"Use QF_LIA with constraints: x >= 0, 2x <= 6",declare x\nset-logic QF_UF\nassert (set-variable x 1)\nassert (nonnegative x)\nassert (leq 6 2*x)\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
(set-logic QF_UF (declare-const x 1) (assert (>= x 0)) (check-sat),"This is a simple satisfiability problem, where we need to find an assignment of values to the variable x such that all constraints are satisfied.",\u03c0\u03b5\u03a7\u03d4\u03b9\u03ac\u03bc\u03c0\u03c1\u03b8\u03bb\u037f\u0392\u0341\u0336\u0333\u032f\u035a\u037e\u0387\u038d\u0385\u0389\u03bf\u0360\u0334\u037c\u0383\u039b\u0378\u0345\u0301\u0376\u037f\u0322\u031e\u035a\u037d\u0387\u0389\u037f\u0360\u0334\u037c\u0383\u039b\u0378\u0345\u0301\u0376\u037f\u0322\u031e\u035a\u037d\u0387\u0389\u037f\u0360\u0334\u037c\u0383\u039b\u0378\u0345\u0301\u0376\u037f\u0322),Missing required SMT-LIB components (declare-const/fun and assert)
"Solve the following logic puzzle: A bat and a ball together cost $1.10. The bat costs $1.00 more than the ball. If you have 5 times as many bats as balls, how much will you pay?","Let B represent the number of balls and B+ represent the number of bats. From the first equation, we get: B + (B+1) = 10. This simplifies to 2B + 1 = 10, or B = 4.5. Since you can't pay for a fraction of a bat, this means that the only possible solution is to have 5 balls and 4 bats.",\n\n\n\nset-logic QF_UF\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n\n,Missing required SMT-LIB components (declare-const/fun and assert)
The Five Houses Puzzle,Use the QF_UF and QF_LIA rules to prove that there is only one possible placement of the five houses.,"\(set-logic QF_UF\)\n\(declare-const H1 \ Geometric::Point\ with X, Y\)\n\(declare-const H2 \ Geometric::Point\ with X, Y\)\n\(declare-const H3 \ Geometric::Point\ with X, Y\)\n\(declare-const H4 \ Geometric::Point\ with X, Y\)\n\(declare-const H5 \ Geometric::Point\ with X, Y\)\n\(assert (forall x y z w v e f g h i j k l m n o p q r s t u v w x y z ||\n  ((H1 = (H2 + H3) + H4 && H5 = (H2 - H3) + H4 && H6 = \n    ((H1 . X) == (H2 . Y)) && (H7 . X) == (H3 . Y))) ||\n  ((H1 = (H2 - H3) + H4 && H5 = (H1 + H2) + H4 && H8 = \n    ((H1 . Y) == (H2 . X)) && (H9 . Y) == (H3 . X))) ||\n  ((H1 = (H2 + H3) + H4 && H5 = (H7 - H6) + H4 && H10 = \n    ((H1 . X) == (H7 . Y)) && (H11 . X) == (H3 . Y))) ||\n  ((H1 = (H2 - H3) + H4 && H5 = (H9 + H8) + H4 && H12 = \n    ((H1 . Y) == (H9 . X)) && (H13 . Y) == (H3 . X))) ||\n  ((H1 = (H2 + H3) + H4 && H5 = (H7 - H6) + H4 && H14 = \n    ((H1 . X) == (H7 . Y)) && (H15 . X) == (H3 . Y))))\n\(check-sat)",Unbalanced parentheses
The Five Switches,"Use QF_LIA and set-logic QF_UF to prove that there is exactly one way to program a computer to switch between five lights on, one at a time, while the lights are off.",\setlogic QF_UF\declare-const i\int i \assert (i = 0)\declare-const j\int j \assert (j = 1)\declare-const k\int k \assert (k = 2)\declare-const l\int l \assert (l = 3)\declare-const m\int m \assert (m = 4)\declare-const n\int n \assert (n = 5)\declare-const p\int p \assert (p = i)\declare-const q\int q \assert (q = j)\declare-const r\int r \assert (r = k)\declare-const s\int s \assert (s = l)\declare-const t\int t \assert (t = m)\declare-const u\int u \assert (u = n)\declare-const v\int v \assert (v = p)\declare-const w\int w \assert (w = q)\declare-const x\int x \assert (x = r)\declare-const y\int y \assert (y = s)\declare-const z\int z \assert (z = t)\declare-const a\int a \assert (a = u)\declare-const b\int b \assert (b = v)\declare-const c\int c \assert (c = w)\declare-const d\int d \assert (d = x)\declare-const e\int e \assert (e = y)\declare-const f\int f \assert (f = z)\check-sat,Missing required SMT-LIB components (declare-const/fun and assert)
Prove that there exists an integer x such that x^2 + x - 5 = 0,"Use QF_UF and set-logic to prove the existence of a solution, and use check-sat to find it.",smt2\nset-logic QF_UF\nassert (x^2 + x - 5 = 0)\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
The Five Houses,"Using set-logic QF_UF and quantifiers, prove that there exists a house on each row such that at least one of its doors is open.","\begin{pmatrix} (set-logic QF_UF \ \n     (declare-const houses \ {0,1,2,3,4}) \ \n     (assert (forall x : houses \ (x = 0) \ \n      (not (and (eqn x 1) (eqn x 2)) \ \n       (or (eqn x 1) (neq x 2)))) \ \n     (assert (forall y \ (y = houses) \ \n        (exists z : houses \ (z < y) \ \n         (not (and (eqn z 0) (eqn z 4)) \ \n          (or (eqn z 1) (neq z 2)))) \ \n     (assert (forall x y \ (x = 0) \ (y = houses) \ \n        (not (and (eqn x 0) (eqn x 4)) \ \n         (or (eqn x 1) (neq x 2)))) \ \n     (assert (forall z \ (z = houses) \ \n       (not (and (eqn z 0) (eqn z 3))) \ \n      (or (eqn z 1) (neq z 2)) \ \n     (and (eqn z 0) (eqn z 4)))) \ \n    )\ \n   \end{pmatrix}",Unbalanced parentheses
The Three Switches,Use QF_UF and QF_LIA to prove that there exists a number between 1 and 3 that has exactly one switch on.,set-logic QF_UF\nset-logic QF_LIA\ndeclare-const x int : 0 <= x < 3\nassert (x = 1)\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
The Three Switches,(set-logic QF_UF) (declare-const x true) (declare-const y false) (declare-const z true),(int x (bool z))\n\n(int x)\n(int y)\n(check-sat),Missing required SMT-LIB components (declare-const/fun and assert)
The Five Houses Problem,"To solve this problem, we need to use the QF_UF and QF_LIA SMT-LIB rules.",\(set-logic QF_UF\) \n\n\(declare-const x1 integer\) \n\(declare-const y1 integer\) \n\(declare-const z1 integer\) \n\(assert (x1 <= 2 && x1 >= 0) && y1 <= 3 && y1 >= -1) && \n(declare-const x2 integer\) \n(declare-const y2 integer\) \n(declare-const z2 integer\) \n(declare-const w2 integer\) \n(declare-const w1 integer\) \n(declare-const w0 integer\) \n(declare-const w3 integer\) \n(assert (x2 <= 1 && x2 >= 0) && y2 <= 2 && y2 >= -1) && \n(declare-const x3 integer\) \n(declare-const y3 integer\) \n(declare-const z3 integer\) \n(declare-const w4 integer\) \n(declare-const w5 integer\) \n(declare-const w6 integer\) \n(assert (x3 <= 1 && x3 >= 0) && y3 <= 2 && y3 >= -1) && \n(declare-const x4 integer\) \n(declare-const y4 integer\) \n(declare-const z4 integer\) \n(declare-const w7 integer\) \n(declare-const w8 integer\) \n(declare-const w9 integer\) \n(assert (x4 <= 1 && x4 >= 0) && y4 <= 2 && y4 >= -1) && \n(declare-const x5 integer\) \n(declare-const y5 integer\) \n(declare-const z5 integer\) \n(declare-const w10 integer\) \n(assert (x5 <= 0 && x5 >= -1) && y5 <= 3 && y5 >= -1) && \n(declare-const x6 integer\) \n(declare-const y6 integer\) \n(declare-const z6 integer\) \n(declare-const w11 integer\) \n(assert (x6 <= 0 && x6 >= -1) && y6 <= 3 && y6 >= -1))\n,Unbalanced parentheses
"A man, a plan, a canal, Panama!",(set-logic QF_UF   (declare-const X 0 5)   (declare-const Y 5 10))(assert (>= X 1) (<= Y 4))   (check-sat),SMT-LIB program here,Missing required SMT-LIB components (declare-const/fun and assert)
The Three Switches,Use QF_UF and assert statements to prove that there is a unique solution to this puzzle.,(set-logic QF_UF \n\n(declare-const x integer) \n(declare-const y integer) \n(declare-const z boolean)\nassert (z = true)),Missing required SMT-LIB components (declare-const/fun and assert)
The set of integers from 1 to 10 that are divisible by both 3 and 5.,(set-logic QF_UF) (declare-const I int) (assert (<= 1 10) (check-sat),(declare-const I int)\n(assert (<= 1 10)\n(check-sat),Unbalanced parentheses
The Five Houses Problem,"To solve this puzzle, we need to find a valid assignment of integers from 1 to 5 to the five houses such that no two adjacent houses have more than one occupant.",declare-house\n  (set-of-integers)\n  (assert house1 = 1)\n  (assert house2 = 2)\n  (assert house3 = 3)\n  (assert house4 = 4)\n  (assert house5 = 5)\n  (check-sat),Missing required SMT-LIB components (declare-const/fun and assert)
Solve for x: 2*x + 5 = 11,Use QF_UF to represent linear equations and solve for x.,(set-logic QF_UF\n  (declare-const x int)\n  (assert (>= 0 (min x 1)))\n  (assert (= 2 * x + 5 11))\n  (check-sat),Unbalanced parentheses
"A farmer has 'a' apples and 'b' bananas in his orchard. The number of apples is greater than twice the number of bananas, and both fruits must be non-negative.",The constraints are: (set-logic QF_UF) (declare-const a int > 0) (declare-const b int > 0) (assert (a > 2 * b) (check-sat),"satisfy ""SMT-LIB code here""",Missing required SMT-LIB components (declare-const/fun and assert)
"A farmer has three fields: A, B, and C. Field A can hold values 0 through 9. Field B can hold values -1 through 1. Field C can only hold the number 5.","The farmer needs to ensure that field C holds a value of either 0 or 4. If field A holds any other value, then field C must be 0. Otherwise, if field A is 5 or greater, then field B must be -1.",set-logic QF_UF\ndeclare-const A Bool;\ndeclare-const B Int;\ndeclare-const C Int;\nassert (A = 0 | A = 4)\nassert (B = -1 | B = 1)\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
(set-logic QF_UF   (declare-const x 9)   (declare-const y 10)   assert (>= x 0)   assert (<= y 100)   check-sat),Satisfiability isomorphism using UFL constraints and linear integer programming.,import solver\n\n  def solve():\n    return \n      # ...,Missing required SMT-LIB components (declare-const/fun and assert)
Satisfy the following set of constraints on the variable x.,Use the quantifier 'for all' to generalize over all natural numbers n.,set-logic QF_UF\n\ndeclare-const x : integer\n\nassert \n  x = 0\n\ngeneralize\n  x;,Missing required SMT-LIB components (declare-const/fun and assert)
A farmer has 5 sheep and 3 goats. How many animals does she have?,(set-logic QF_UF  (declare-const A int  (A = 5)  (G int  (G = 3)))  (assert < A + G > 0)),smt2-sat,Program too short
The Set of Twin Primes,- Prove that there do not exist two prime numbers p and q such that pq = 2.,\set{\logic QF_UF}\\declare-const p\i32 \declare-const q\i32\assert (p * q = 2)\check-sat,Missing required SMT-LIB components (declare-const/fun and assert)
A 5-person committee needs to decide on a project leader.,Use QF_UF and assert constraints like (equal (= 1 2)) or (not (equal (= 3 4))).,\n\n(\n  \n    \n      \n    \n      \n      \n    \n      \n      \n      \n      \n      \n     \n    \n   )\n,Missing required SMT-LIB components (declare-const/fun and assert)
A Farmer Needs Water,"The farmer needs to water his crops with an exact amount of water, which should be a multiple of 2.",\n\n(set-logic QF_UF\n\n(declare-const W integer)\n\n(assert (<= W 0))\n\n(check-sat),Unbalanced parentheses
Solve for x: 2x + 5 = 11,Use QF_UF and set-logic (maximize) to find an optimal solution.,\n\nset-logic \n QF_UF\n\ndeclare-const x 1\n\nassert \n 2*x + 5 = 11\n,Missing required SMT-LIB components (declare-const/fun and assert)
The Five Houses Problem,"To solve this problem, we need to assign numbers to each of the five houses such that each house is assigned a number between 1 and 5 (inclusive), and no two adjacent houses have the same number.",set-logic QF_UF\ndeclare-const house1 : integer > 0;\ndeclare-const house2 : integer > 0;\ndeclare-const house3 : integer > 0;\ndeclare-const house4 : integer > 0;\ndeclare-const house5 : integer > 0;\nassert (house1 = house2)\nassert (house2 = house3)\nassert (house3 = house4)\nassert (house4 = house5);\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
The Three Switches,Use the rules provided by the problem to construct a valid solution.,\(set-logic QF_UF\)\n\(declare-const x true \(\n  assert (x = 3) \)\n  assert (y = 5) \(check-sat\),Missing required SMT-LIB components (declare-const/fun and assert)
The Five Houses Puzzle,"To solve this puzzle, we need to find a valid assignment of integers from 1 to 5 to the five houses such that each house is either occupied by an integer or not.",\n\n\nset-logic QF_UF\n\n\ndeclare-const house1 boolean\n\n\ndeclare-const house2 boolean\n\n\ndeclare-const house3 boolean\n\n\ndeclare-const house4 boolean\n\n\ndeclare-const house5 boolean\n\n\nassert not (house1 or house2)\n\n\nassert not (house3 or house4)\n\n\nassert not (house5 or house3)\n\n\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
A farmer wants to optimize his irrigation system to minimize water waste.,"To solve this problem, we can use QF_UF and QF_LIA SMT-LIB rules to check if it's possible to irrigate all fields with the given amount of water.","\begin{set-logic QF_UF\n\begin{declare-const} x1: real \n y1: real \n z1: real \\n x2: real \n y2: real \n z2: real \\n assert(x1 <= x2, 1)\n assert(y1 <= y2, 1)\n assert(z1 <= z2, 1)\n check-sat\nend{declare-const} assert(x1 = x3, 0); assert(y1 = y4, 0); assert(z1 = z5, 0);\ncheck-sat",Missing required SMT-LIB components (declare-const/fun and assert)
"Solve the following puzzle:  3 x + y = 6, 2x - y = 4.",(set-logic QF_UF) (declare-const x Int) (declare-const y Int) (assert (>= x 0) (assert (>= y 0)) (verify-sat),\n\n# SMT-LIB program in C:\\smtplib.smtlib\n,Missing required SMT-LIB components (declare-const/fun and assert)
"A person is standing next to a box with an unknown weight. The box has a label that says 'Heavy' if its weight is greater than 10 kg and 'Light' otherwise. The person is holding the box, but they don't know which side it's on. What can be said about the box?","Using QF_UF, we can assert that the box is either Heavy or Light.",set-logic QF_UF\ndeclare-const W : int >;\nassert (W = 10)\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
"There are three switches: hot, cold and off.  You can turn on any two switches at once using one of the following operations:  1. Turn on switch A and then off switch B.  2. Turn on switch C and then off switch D.  3. Turn on switch B and then off switch D.  4. Turn on switch A and then turn on switch C.  5. Turn on switch C and then turn on switch D.","This is a classic puzzle that can be solved by applying the rules of logic, using simple Boolean constraints (AND/OR) to represent the conditions for each step.",set-logic QF_UF\n\ndeclare-const hot int true;\ndeclare-const cold int false;\ndeclare-const off int false;\nassert hot or off;\nassert not cold;,Missing required SMT-LIB components (declare-const/fun and assert)
"A man, a plan, a canal, Panama!",(set-logic QF_UF   (declare-const X 0 5)   assert (<= X 0)   check-sat),SMT-LIB code here,Program too short
The Five Houses Puzzle,"To solve this puzzle, we need to use QF_UF constraints to represent the relationships between the houses and their occupants.",declare-const five_houses :: int;\ndeclare-const house1 :: integer;\ndeclare-const house2 :: integer;\ndeclare-const house3 :: integer;\ndeclare-const house4 :: integer;\ndeclare-const house5 :: integer;\nassert (house1 >= 0 && house1 <= 5)\nassert (house2 >= 0 && house2 <= 5)\nassert (house3 >= 0 && house3 <= 5)\nassert (house4 >= 0 && house4 <= 5)\nassert (house5 >= 0 && house5 <= 5);\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
The Three Switches,Use QF_UF to create a function symbol and apply it to three variables in a predicate.,(set-logic QF_UF\n  (declare-const x 1\n   (declare-const y 2\n    (declare-const z 3))\n  (assert (\n    (forall (x y z)\n      (= x 0) \n    (forall (x y z)\n      (= y 0) \n    (forall (x y z)\n      (= z 0)))))),Unbalanced parentheses
Satisfy the following statement,Use the QF_UF and QF_LIA rules to generate a model that satisfies this statement.,set-logic QF_UF\n\ndeclare-const x : bool;\ndeclare-const y : int;\nassert x = true;\nassert y > 0;\ncheck-sat,Missing required SMT-LIB components (declare-const/fun and assert)
Satisfying a linear equation with two variables,Use QF_UF to ensure equality and QF_LIA to allow variable combination.,\[\sout{(x + y = 5) \n(2x - 3y = 1)}\] SMT-LIB code,Missing required SMT-LIB components (declare-const/fun and assert)
Find integers x such that x^2 + 1 = x+3,This equation can be solved using QF_UF with the following constraints: (set-logic QF_UF) and (declare-const x integer),satisfy (assert x > -10) #<--- new constraint to check negativity,Missing required SMT-LIB components (declare-const/fun and assert)
