problem,reasoning,program
"Find an infinite set {x: [0, 1]}.",This problem can be solved using QF_UF.,(set-logic QF_LIA) (declare-const an Int) (assert (and (>= an 0) (<= an 1))) (check-sat)
(set-logic QF_UF  (declare-const x 1)  (declare-const y 2),This problem is a simple example of using set-logic QF_UF to reason about the satisfiability of a given formula.,(set-logic QF_LIA) (declare-const x Int) (assert (and (>= x 1) (<= x 2))) (check-sat)
A farmer wants to ensure that all cows are wearing collars of a certain color.,"The farmer has ordered 100 cows, each with one collar. The collar can be either red or blue. Use QF_UF and QF_LIA constraints to prove that there is an assignment of colors to the collars such that all 100 cows are wearing their assigned colors.",(set-logic QF_LIA) (declare-const A Int) (assert (and (>= A 0) (<= A 10))) (check-sat)
The Flipped Coins,Use QF_UF with a set of variables and constraints to prove that it's impossible to flip all coins such that one side always shows the opposite number.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
The Three Switches,Prove that there exists an integer x such that exactly three switches are open.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
The Three Switches,Use QF_UF to prove that exactly one of three boolean variables can be false at any given time.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
The Three Switches,Prove that it is impossible to assign colors to three switches such that each switch corresponds to one of three colors and the corresponding color switch is red.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
\(\{\n  x: \n    # Introduce a variable and constraint\n    assert(x > 0);\n  y: \n    # Introduce another variable and constraint\n    assert(y < x);\n  z: \n    # Use SMT-LIB to prove the variables are equal\n  (set-logic QF_UF \n    (declare-const x : int) \n    (declare-const y : int) \n    (declare-const z : bool))\n  \n  assert(z);\n  \n  (check-sat),"\(\{\n  # We use the fact that x > 0 and x + y = z to prove x == z\n  assert(x + y = z + x);\n  \n  # Since z is True, we can deduce x == z\n  assert(x == z);\n  \n  \n  # Use the assumption that x < 0 and x - y = z to prove x != z\n  assert(x > 0 && x - y = z);\n  \n  # Since z is False, we can deduce x != z\n  assert(x != z);\n  \n  \n  \n  (check-sat)",(set-logic QF_LIA) (declare-const a Int) (assert (= a 0)) (check-sat)
"A prisoner needs to escape from a cell with multiple locks, each of which has two possible keys: the correct key or the wrong key. The guards enter a room and check one lock at a time in order.","To solve this problem using QF_UF, we need to model the guards' behavior as a set of rules that specify when they should consider each lock as the correct key. We can use (set-logic QF_UF) to define this logic, and then add rules for checking each lock's key.",(set-logic QF_LIA) (declare-const A_slot Int) (assert (and (>= A_slot 1) (<= A_slot 3))) (declare-const a_slot Int) (assert (and (>= a_slot 1) (<= a_slot 3))) (declare-const at_slot Int) (assert (and (>= at_slot 1) (<= at_slot 3))) (assert (distinct A_slot a_slot at_slot)) (check-sat)
A woman has two coins that weigh differently. One coin weighs 1 kg and the other weighs 0.9 kg. How much does the lighter one weigh?,Use set-logic QF_UF and assert   (weigh < 1kg)  and (not (weigh = 0.9kg)),(set-logic QF_LIA) (declare-const A Int) (declare-const kg Int) (assert (and (>= A 0) (<= A 10))) (assert (and (>= kg 0) (<= kg 10))) (assert (distinct A kg)) (check-sat)
Prove that there exists an integer x such that x^2 + 1 = 0 and x is not odd,"To prove this statement, we can use the QF_UF rule to generate a set of solutions for the equation x^2 + 1 = 0. We then check if any of these solutions are integers that satisfy the condition x is not odd.",(set-logic QF_LIA) (declare-const an Int) (assert (= an 2)) (check-sat)
"A farmer has two fields, A and B. Field A has 5 apples, and field B has 3 oranges. The farmer wants to know if there are any common fruits between the two fields.",The farmer can find the intersection of sets containing apples and oranges in both fields.,(set-logic QF_UF) (declare-const A_friend_B Bool) (declare-const B_friend_A Bool) (assert (= A_friend_B B_friend_A)) (assert (= A_friend_B true)) (check-sat)
"A bat and a ball together cost $1.10. The bat costs $1.00 more than the ball. If the ball costs x dollars, how much does the bat cost?",Let b = number of cents in the ball. Then the equation is (100 - b) + b = 110. Solve for b.,(set-logic QF_LIA) (declare-const A Int) (assert (and (>= A 1) (<= A 10))) (check-sat)
"A farmer has two fields, A and B. Field A is 3 units long, while field B is only 2 units long. The farmer wants to know if there are enough spaces on both fields.",The problem can be solved using the QF_UF rule with a conjunction of constraints representing the length of each field and its relationship with the number of rows.,(set-logic QF_UF) (declare-const A_friend_B Bool) (declare-const B_friend_A Bool) (assert (= A_friend_B B_friend_A)) (assert (= A_friend_B true)) (check-sat)
Satisfying a set of rules on the number of apples,Use QF_UF to generate constraints for the number of apples in each basket and then solve using check-sat.,(set-logic QF_LIA) (declare-const a Int) (assert (and (>= a 0) (<= a 10))) (check-sat)
"A farmer has two fields: Field A and Field B. If it rains, both fields receive water, but only if it's not too hot.","let (   0:     assert (>= 20 any x) => (x = 'hot')   1:     assert (= 100 any y) => (y = 80)   2:     let (       z: set of string       f0: {x | x = 'hot', x < 20}       f1: {x | x = 'hot', x >= 20, x <= 30}       f2: {x | x = 'hot', x > 30})     assert (in z f0)     & (not in f1 f0)    & (in f2 f1)",(set-logic QF_LIA) (declare-const A Int) (assert (and (>= A 0) (<= A 10))) (check-sat)
"Solve the following logic puzzle: P(x, y) implies Q(x, y).","Use the transitive property to derive Q(x, z) from Q(x, y) and Q(y, z)",(set-logic QF_LIA) (declare-const P Int) (assert (and (>= P 0) (<= P 10))) (check-sat)
"A farmer wants to irrigate all but two rows of his garden, and then water one row. What are the possible values for k?","To find the exact number of rows that will be irrigated, we need to use the set-logic QF_UF and check-sat constraints.",(set-logic QF_LIA) (declare-const A Int) (assert (and (>= A 0) (<= A 10))) (check-sat)
The Last Question,"Given a set of people and a set of positions, determine who will be sitting next to whom.",(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
"{   'problem': ""Solve the following puzzle: There are three switches, but they are not labelled. Each switch corresponds to one of three light bulbs in a room. Each bulb is either on or off. You can turn the switches on and off as many times as you want, but you can only enter the room one time to observe the bulbs. How can you figure out which switch corresponds to which light bulb?""",{   (set-logic QF_UF)   (declare-const bulb1 bool   bulb2 bool   bulb3 bool)   (declare-const switches [ bulb1 true    bulb2 false    bulb3 true ]   (assert not (switches[0]            or switches[1]            or switches[2]))   (check-sat),(set-logic QF_LIA) (declare-const a_slot Int) (assert (and (>= a_slot 1) (<= a_slot 3))) (declare-const as_slot Int) (assert (and (>= as_slot 1) (<= as_slot 3))) (declare-const in_slot Int) (assert (and (>= in_slot 1) (<= in_slot 3))) (assert (distinct a_slot as_slot in_slot)) (check-sat)
(set-logic QF_UF (declare-const x int) (declare-const y bool) (assert (>= x 0) (check-sat),"This is a simple problem that can be solved using basic arithmetic and logical constraints. The goal is to determine if the value of x is greater than or equal to 0, given that it is an integer.",(set-logic QF_LIA) (declare-const x Int) (assert (= x 0)) (check-sat)
(set-logic QF_UF   (declare-const x y int)   (assert x > 0)),"This is a simple logic puzzle where we are asked to prove that if x is greater than 0, then x is positive.",(set-logic QF_LIA) (declare-const x Int) (assert (and (>= x 0) (<= x 10))) (check-sat)
The Three Switches,"Use set-logic QF_UF and assert/declare/declare-const to model a problem where a person has three switches, labelled A, B and C, and each switch corresponds to one of three light bulbs in a room. The lights are initially off, and we can turn the lights on or off at most once per switch. We want to determine if it is possible to turn all the lights on with just two switch flips.",(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
(set-logic QF_UF (declare-const x y 1)),(assert y = 1) && (check-sat),(set-logic QF_LIA) (declare-const x Int) (assert (and (>= x 1) (<= x 11))) (check-sat)
The Three Switches,"{'type': 'deductive', 'constraints': ['\n  assert (x = 0)\n', '\n  assert (y = 1)\n', '\n  assert (z = 2)\n']}",(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
The Three Switches,Use set-logic QF_UF and assert/unify to prove that there is no valid assignment of colors to switches such that each switch corresponds to either red or green.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Satisfying the following system of linear equations with integer coefficients and constraints,"Use QF_LIA or QF_UF to generate the model, then solve it using a solver like DPLL or CDT.",(set-logic QF_LIA) (declare-const of Int) (assert (and (>= of 0) (<= of 10))) (check-sat)
"A farmer has a chicken and some wheat. If she gives away half of her chicken, what fraction of her wheat remains?","If the farmer has x chickens and y wheat, then after giving away c/2 chickens, the farmer has (x-c)/2 wheat left.",(set-logic QF_LIA) (declare-const A Int) (assert (and (>= A 0) (<= A 10))) (check-sat)
(set-logic QF_UF (declare-const x 1 #t) (declare-const y 2 #f) (assert (x = true) (y = false))),to prove that x and not y are both true or both false using only basic arithmetic operations and equality checks,(set-logic QF_LIA) (declare-const f Int) (assert (= f 1)) (check-sat)
The set of all perfect numbers,"This is a classic problem in number theory, and it can be solved using QF_UF with constraints such as (forall x (<= 1000) (odd? x))",(set-logic QF_LIA) (declare-const of Int) (assert (and (>= of 0) (<= of 10))) (check-sat)
"Solve the puzzle: 5 cars are parked on the street, and each car has a different color. If we add 2 more cars with the same color, can you find the color of all 7 cars?",Use mod 3 to solve this problem by assuming that the total number of cars is divisible by 3.,(set-logic QF_LIA) (declare-const If Int) (assert (= If 5)) (check-sat)
A farmer has a field with two rows and two columns. Each cell in the field can be either red or green. The farmer wants to know if it is possible to reach every cell from one corner to the other using only right and up moves.,This problem is a classic example of a constraint satisfaction problem (CSP) that can be solved using QF_UF and QF_LIA solvers in SMT-LIB. We need to find all possible valid paths from the top-left corner to the bottom-right corner while respecting the constraints.,(set-logic QF_UF) (declare-const A_friend_a Bool) (declare-const a_friend_A Bool) (assert (= A_friend_a a_friend_A)) (assert (= A_friend_a true)) (check-sat)
Satisfy the following proposition: 2 + 2 = true.,This can be proved using the QF_UF rule and simple arithmetic constraints.,(set-logic QF_LIA) (declare-const X Int) (assert (= X 2)) (check-sat)
The Three Switches,Use a model with three variables and two constraints to solve this puzzle.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
"Given integers a and b, find all pairs of distinct positive integers c and d such that a + b = c + d",Prove the validity of the following system using QF_UF or QF_LIA with integer constraints: (set-logic QF_UF)   (declare-const a Int)   (declare-const b Int)   (declare-const c Int)   (declare-const d Int)   (assert (a + b = c + d))   (check-sat),(set-logic QF_LIA) (declare-const a Int) (assert (= a 5)) (check-sat)
Prove that the following statement is true: x = 5 and y != 3,"Use the QF_UF rule to combine the assertions of x = 5 and y != 3, then use the QF_LIA rule to prove the conjunction of these two statements. Finally, add a check-sat clause to verify that the system is satisfiable.",(set-logic QF_LIA) (declare-const is Int) (assert (= is 5)) (check-sat)
"Solve the following puzzle: A bat and a ball together cost $1.10. The bat costs $1.00 more than the ball. If the ball costs x dollars, how much does the bat cost? y.",$y-x=0.10\quad$y>x$,(set-logic QF_LIA) (declare-const A Int) (assert (and (>= A 1) (<= A 10))) (check-sat)
"A 5-person committee must be formed from a group of 8 people, and each person can only speak on one topic.",Use set-logic QF_UF to ensure that each member speaks only once and use   for newlines inside the SMT string.,(set-logic QF_LIA) (declare-const A Int) (assert (and (>= A 5) (<= A 8))) (check-sat)
The Five Houses Puzzle,Use QF_UF to express that each house is occupied by either a person or an animal.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
"A farmer has N cows to milk. The first cow can be milked at most once per day, and each cow takes at least one hour to milk. If the farmer starts with an empty fridge, how many days will they need to milk all their cows?","To solve this problem, we can use the QF_UF logic, which allows us to represent the constraints as a set of clauses with atomic propositions representing the number of cows and hours spent milking. We can then use the 'check-sat' solver to find an optimal solution.",(set-logic QF_LIA) (declare-const A Int) (assert (and (>= A 0) (<= A 10))) (check-sat)
The Three Switches,(set-logic QF_UF) (declare-const x 1) (assert (x = 0)) (check-sat),(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
"A farmer has two fields, A and B. Field A contains all the apples from both fields combined. If field C contains only apples that are red, then field D must contain at least half of field A's apple count.","Use QF_UF and QF_LIA to solve this problem. Consider the constraints (set-logic QF_UF) and (declare-const ...). Use assert statements to define field A and field B. Assume all apples are either red or not red for field C, then use modularity on field D.",(set-logic QF_LIA) (declare-const A Int) (assert (and (>= A 0) (<= A 10))) (check-sat)
A farmer has 5 sheep and wants to build a fence around them. The fence must be at least 3 meters long and can have a maximum of 10 meters in the middle.,Use QF_UF constraints to ensure that the fence can accommodate all the sheep while leaving some buffer space on each side.,(set-logic QF_LIA) (declare-const A Int) (assert (and (>= A 5) (<= A 3))) (check-sat)
A farmer has 'm' chickens and wants to know if they are all happy.,The answer is yes if and only if m = 5 or m = 6,(set-logic QF_UF) (declare-const A_friend_if Bool) (declare-const if_friend_A Bool) (assert (= A_friend_if if_friend_A)) (assert (= A_friend_if true)) (check-sat)
The Life of Pi,"Use QF_UF and assert constraints on pi, x, and y.",(set-logic QF_LIA) (declare-const Pi Int) (assert (and (>= Pi 0) (<= Pi 10))) (check-sat)
"A farmer has three fields: A, B and C. Field A has 4 rows and 5 columns, field B has 3 rows and 6 columns and field C has 2 rows and 8 columns. The farmer wants to know how many hot peppers are in each field.","The total number of hot peppers in all fields is equal to the sum of the products of the number of rows and columns in each field, multiplied by a constant (1).",(set-logic QF_UF) (declare-const A_friend_B Bool) (declare-const B_friend_A Bool) (assert (= A_friend_B B_friend_A)) (assert (= A_friend_B true)) (check-sat)
"\(\(\{1:2, 3:4} \) -> (false))",(set-logic QF_UF) (declare-const X int) (assert (X = 1) (check-sat),(set-logic QF_UF) (declare-const X Bool) (assert (= X true)) (check-sat)
(set-logic QF_UF) (declare-const x 1  # t) (assert (<= 0 (and x 2) (add 3 x))) (check-sat),"Using the <a href=""https://www.sat.inf.u-bremen.de/"">SAT solver</a> to verify the satisfiability of the given formula. We found that it is unsatisfiable for all values of x.",(set-logic QF_LIA) (declare-const t Int) (assert (= t 1)) (check-sat)
The Three Switches,(set-logic QF_UF 	(declare-const x 1) 	(declare-const y 2) 	(assert (not (= x 0))) 	(check-sat),(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
The Three Switches,QF_UF and set-logic QF_LIA,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
"A farmer has 5 rows of flowers in her garden, and each row can have at most 3 flowers. The number of flowers in each row must be an integer between 0 and 4 (inclusive).",The number of flowers is a valid integer.,(set-logic QF_LIA) (declare-const A Int) (assert (and (>= A 5) (<= A 3))) (check-sat)
Satisfying a simple equation,"Use “<~{ to enforce an inequality, and ”<~~ to enforce equality.",(set-logic QF_LIA) (declare-const a Int) (assert (and (>= a 0) (<= a 10))) (check-sat)
Satisfying the Chicken McNugget Theorem,The Chicken McNugget Theorem states that the sum of two relatively prime numbers has a unique representation as a linear combination of those two numbers. Prove this theorem using QF_UF and SMT-LIB.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
The Three Switches,Use a switch statement to determine which color shirt to wear based on the day of the week.,(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
"A farmer has three fields of wheat: Field A, Field B, and Field C. Each field can hold either 0 or 1 units of wheat. The farmer needs to determine which field holds how many units of wheat based on the following clues.",Use QF_UF (Universal Forcing) and assert constraints for each field to deduce its contents.,(set-logic QF_LIA) (declare-const A Int) (assert (and (>= A 0) (<= A 1))) (check-sat)
"A farmer has two fields, A and B. Field A can hold at most 1000 units of soil, and field B can hold at most 2000 units of soil. The farmer wants to know if it is possible to allocate the soil between the two fields such that field A does not exceed its capacity and field B does not exceed its capacity.","use QF_UF to add constraints on the number of units in each field, check-sat to verify the validity of the constraints",(set-logic QF_UF) (declare-const A_friend_B Bool) (declare-const B_friend_A Bool) (assert (= A_friend_B B_friend_A)) (assert (= A_friend_B false)) (check-sat)
"Solve the following logic puzzle: There are three switches, but they are not labelled. Each switch corresponds to one of three light bulbs in a room. Each bulb is either on or off. You can turn the lights on and off as many times as you want, but you can only enter the room one time to observe the bulbs.",Use QF_UF to model the switches and their corresponding light bulbs. The only constraints should be integer variables for the number of times each switch has been turned on or off.,(set-logic QF_LIA) (declare-const a_slot Int) (assert (and (>= a_slot 1) (<= a_slot 3))) (declare-const as_slot Int) (assert (and (>= as_slot 1) (<= as_slot 3))) (declare-const in_slot Int) (assert (and (>= in_slot 1) (<= in_slot 3))) (assert (distinct a_slot as_slot in_slot)) (check-sat)
The set of all perfect squares between 0 and 100,"Use QF_UF to express that a number is either even or odd, then use the property (forall x (x = 0) -> (not (x^2))) to assert that there are no perfect squares less than 100.",(set-logic QF_LIA) (declare-const of Int) (assert (and (>= of 0) (<= of 100))) (check-sat)
The Five Houses Problem,Use QF_UF and QF_LIA solvers to prove the following statement: There exists an integer x such that x^2 + x + 1 = 5x + 4 or (x == 0 and y == 2) or (x == 3 and y == 1),(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
\u03c0\u202f\u2228\u221a\u203b\u2153\u2192\u2115\u20d1\u2164\u217e\u22cc\u2202\u2189\u2164\u223b\u2193\u214f\u2187\u212a\u215c\u2236\u219d\u2210\u2135\u2188\u217c\u2221\u218a\u216f\u220e\u2192\u211c\u2153,\u03b7\u2129\u20ac\u201d\u2060\u2035\u2130\u2211\u2148\u218a\u2164\u217e\u22cc\u2202\u218f\u2153\u219b\u222c\u2207\u2189\u207d\u2066\u2120\u20ac\u201d\u2035\u2130,(set-logic QF_LIA) (declare-const u2115 Int) (assert (and (>= u2115 0) (<= u2115 10))) (check-sat)
Prove that two people are friends if and only if they have a mutual friend,"Use QF_UF to prove the biconditional, and use set-logic to add the necessary constraints",(set-logic QF_UF) (declare-const a_friend_if Bool) (declare-const if_friend_a Bool) (assert (= a_friend_if if_friend_a)) (assert (= a_friend_if true)) (check-sat)
(set-logic QF_UF   (declare-const x int)   (assert (not (= x 0)))   (check-sat),The assertion will only be true if x is not equal to 0.,(set-logic QF_LIA) (declare-const x Int) (assert (= x 0)) (check-sat)
Social inequality,"Use QF_UF to model the relationship between income and education level, where higher income leads to higher education level.  (declare-const X (integer : LessThan 5))  (declare-const Y (integer : GreaterThan 0))  (assert (QF_UF (     X Y              <= 4 ? true : false) )",(set-logic QF_LIA) (declare-const X Int) (assert (= X 5)) (check-sat)
"Given a social network with people of different ages, find all pairs of individuals who are friends.","To solve this problem, we can use QF_UF and check-sat constraints to derive the friendships between people. We can first list all possible pairs of individuals, then constrain each pair using simple integer or boolean constraints (e.g., `age(a, b) <= 18 && age(b, a)`), and finally check for satisfiability.",(set-logic QF_UF) (declare-const a_friend_of Bool) (declare-const of_friend_a Bool) (assert (= a_friend_of of_friend_a)) (assert (= a_friend_of true)) (check-sat)
Prove that there exists an integer x such that x + 1 = 3 and x - 2 > 0,Use the QF_UF rule to combine x + 1 = 3 with x - 2 > 0 to get (x+1) - (x-2) = 5 > 0,(set-logic QF_LIA) (declare-const an Int) (assert (= an 1)) (check-sat)
The given social constraint is inconsistent and cannot be satisfied by any assignment of integers or booleans.,A valid solution would require the existence of a finite set of integer values that can satisfy all constraints simultaneously.,(set-logic QF_UF) (declare-const be Bool) (assert (= be true)) (check-sat)
Prove that John and Mary are married,"Use QF_LIA and assert the following equations to prove this statement, then check-sat.",(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Ensure that no two people in a friendship network have more than one connection to each other,"model  	 globeforall x y z:  		headgedd (x, y)  		and  		( x  eq z |  			not ( 			y, z)  	))",(set-logic QF_UF) (declare-const a_friend_in Bool) (declare-const in_friend_a Bool) (assert (= a_friend_in in_friend_a)) (assert (= a_friend_in true)) (check-sat)
Prove that there exists an integer x such that x^2 + 1 = 2x and x is less than or equal to 10,{'method': 'modelChecking'},(set-logic QF_LIA) (declare-const an Int) (assert (= an 2)) (check-sat)
Prove that there exist two distinct integers x and y such that x + y = 5,"Using QF_UF with constraints x >= 0, y <= 5, and x + y = 5, derive the existence of a solution.",(set-logic QF_LIA) (declare-const x Int) (assert (= x 5)) (check-sat)
Prove that it is not possible to construct a directed acyclic graph (DAG) with more than 5 nodes and 10 edges.,"This can be proven using the properties of finite state machines, specifically the pumping lemma for regular languages. The pumping lemma states that there exists a positive integer k such that any string s in the language must contain at least one character that appears at least k times in blocks of length at most 2k.",(set-logic QF_LIA) (declare-const a Int) (assert (and (>= a 5) (<= a 10))) (check-sat)
Prove that there exists an integer x such that x^2 + 4 = 8 and x^2 - 3 < 0.,"This problem can be solved using the QF_UF rule, which states that for any formula f(X) of type 'quantifier-free' with one free variable X, we have either f(X) or ¬f(X). We will use this rule to derive a contradiction. First, we show that 3^2 - 4 = 5 and 3^2 + 4 > 8. Then, we can conclude that there exists an integer x such that x^2 < 0.",(set-logic QF_LIA) (declare-const an Int) (assert (= an 2)) (check-sat)
Prove that 'John' is not equal to 'Alice',Use QF_UF with set-logic and assert constraints.,(set-logic QF_LIA) (declare-const is Int) (assert (= is 5)) (check-sat)
Prove that there exists an integer $x$ such that x^2 + 3x - 4 = 0,"The quadratic equation has at least one real root according to the Fundamental Theorem of Algebra, and we can show this by attempting to solve it manually.",(set-logic QF_LIA) (declare-const an Int) (assert (= an 2)) (check-sat)
Prove that there exists an integer x such that x > 0 and (x + 1) mod 3 = 2,"Using the properties of modular arithmetic, we can derive that if x is positive, then (x + 1) mod 3 must be equal to 2. This implies that there exists a unique integer solution for x.",(set-logic QF_LIA) (declare-const an Int) (assert (= an 0)) (check-sat)
The relationship between 'student_id' and 'course_id' in the student-course table is that it is an one-to-many relationship.,(set-logic QF_UF)   (declare-const student_course_rel:bool)  (declare-const course_student_rel:bool)  (assert (forall x:(student_course_rel|course_student_rel)) (not ((course_student_rel|x) | (student_course_rel|x)))  (check-sat),(set-logic QF_UF) (declare-const an_friend_in Bool) (declare-const in_friend_an Bool) (assert (= an_friend_in in_friend_an)) (assert (= an_friend_in true)) (check-sat)
Prove that a person is either married to their spouse or single.,Use QF_UF and QF_LIA rules to derive this statement.,(set-logic QF_LIA) (declare-const a Int) (assert (and (>= a 0) (<= a 10))) (check-sat)
Prove that John and Mary are married.,"(set-logic QF_UF) (declare-const John mary : pair (string , string)) (assert (John mary) (check-sat)",(set-logic QF_LIA) (declare-const X Int) (assert (and (>= X 0) (<= X 10))) (check-sat)
Prove that a person is not married to themselves.,(not (set-of-facts (set-of-constants 'x) (set-of-constants 'y))),(set-logic QF_LIA) (declare-const a Int) (assert (and (>= a 0) (<= a 10))) (check-sat)
"Prove that for all integers n >= 2, (1 + n) mod 3 = 0.",This statement can be proven using the properties of modular arithmetic and the fact that 1 + n is always even when n is odd or a multiple of 4.,(set-logic QF_LIA) (declare-const n Int) (assert (= n 2)) (check-sat)
Prove that there are at least two distinct social connections between individuals in a small community.,"Use QF_UF and QF_LIA rules to derive the existence of at least two distinct social connections, given the following assumptions: people have no social connections with themselves, people can be connected by exactly one other person, people cannot be connected by multiple people.",(set-logic QF_LIA) (declare-const a Int) (declare-const at Int) (assert (and (>= a 0) (<= a 10))) (assert (and (>= at 0) (<= at 10))) (assert (distinct a at)) (check-sat)
"Verify that the following relation holds: (x, y) <- (x, z) && (y, z)",Use QF_UF and QF_LIA rules to derive the implication.,(set-logic QF_LIA) (declare-const x Int) (assert (and (>= x 0) (<= x 10))) (check-sat)
Prove that it is impossible to have two people who are friends with each other,"{'description': 'Use QF_UF and set-logic to model this relationship.', 'smtlib': 'set-logic QF_UF\ndeclare-const Alice:Int\ndeclare-const Bob:Int'}",(set-logic QF_UF) (declare-const is_friend_it Bool) (declare-const it_friend_is Bool) (assert (= is_friend_it it_friend_is)) (assert (= is_friend_it true)) (check-sat)
"Given the following social network structure: [1, 2; 2, 3; 3, 4], define the minimum number of friendships required to satisfy all constraints.","To solve this problem, we can use QF_LIA with a set of constraints that enforce the presence of at least one friendship between each pair of nodes in the network. We can then check if the resulting model is satisfiable using check-sat.",(set-logic QF_UF) (declare-const of_friend_to Bool) (declare-const to_friend_of Bool) (assert (= of_friend_to to_friend_of)) (assert (= of_friend_to true)) (check-sat)
Prove that any two people are connected in a social network,Use QF_UF and QF_LIA rules to reason about graph connectivity,(set-logic QF_LIA) (declare-const a Int) (assert (and (>= a 0) (<= a 10))) (check-sat)
Verify that a social relationship graph is consistent.,{   (set-logic QF_UF)   (declare-const person1 person2 : FRIENDS)   (assert (forall (x person)         (           (person1 x)                        (person2 x))         (not (eq x x)))   ),(set-logic QF_UF) (declare-const a_friend_is Bool) (declare-const is_friend_a Bool) (assert (= a_friend_is is_friend_a)) (assert (= a_friend_is true)) (check-sat)
Prove that two people are friends if and only if they share a common interest.,"Use QF_UF to combine two literals representing friendship and two literals representing shared interests, then use assert to prove that the first literal is true if and only if the second literal is true. Finally, check-sat to verify that the system satisfiable.",(set-logic QF_UF) (declare-const a_friend_if Bool) (declare-const if_friend_a Bool) (assert (= a_friend_if if_friend_a)) (assert (= a_friend_if true)) (check-sat)
Determine whether a person is married to their spouse,Use QF_LIA and (set-logic QF_UF) with valid constraints to prove that a person is not married to their spouse.,(set-logic QF_LIA) (declare-const a Int) (assert (and (>= a 0) (<= a 10))) (check-sat)
Prove that there does not exist an integer x such that x^2 + 1 = 0,"This statement can be proven using the QF_LIA theory, specifically by assuming x is an integer and then deriving a contradiction.",(set-logic QF_LIA) (declare-const an Int) (assert (= an 2)) (check-sat)
"Prove that if person A is friends with person B and person C, then person A and person C are connected by a friendship chain",Use QF_UF to represent friendships between people and QF_LIA to ensure the structure of the friendship graph is consistent.,(set-logic QF_UF) (declare-const A_friend_B Bool) (declare-const B_friend_A Bool) (assert (= A_friend_B B_friend_A)) (assert (= A_friend_B true)) (check-sat)
Prove that there exist two distinct integers x and y such that x > y and x + y = 2.,"This problem can be solved using the QF_UF and QF_LIA logic extensions to SMT-LIB. Specifically, we need to use a set of constraints to enforce the inequality x > y and the equality x + y = 2. A possible solution is to use the following constraints: (set-logic QF_UF) (declare-const x int) (declare-const y int) (assert (x > y)) (assert (x + y = 2)).",(set-logic QF_LIA) (declare-const x Int) (assert (= x 2)) (check-sat)
Prove that there exist two people in a social network such that they are friends and not spouses.,"Use QF_UF with constraints on friendships and non-spousality, then add an assumption about the existence of at least one pair of people who could be friends but not spouses.",(set-logic QF_UF) (declare-const a_friend_in Bool) (declare-const in_friend_a Bool) (assert (= a_friend_in in_friend_a)) (assert (= a_friend_in false)) (check-sat)
Prove that there does not exist an integer k such that k^2 + 5k - 6 = 0,(assert (integer s) (> 0 ? 1 : 2)) (assert (syms x k real) > 0) (assert (satisfies (e (univariate x) (- 6 x 6 k^2 + 5 k))) > 0) ((set-logic QF_UF) (declare-const s real)) ((check-sat)),(set-logic QF_LIA) (declare-const an Int) (assert (= an 2)) (check-sat)
Determine whether it is possible to construct a social network where all individuals are connected and no two individuals are friends,"The graph of friendships can be represented as an undirected graph with weighted edges, where each edge has a weight representing the strength of the friendship. A valid solution would require that there is at least one strongly connected component in the graph.",(set-logic QF_UF) (declare-const a_friend_is Bool) (declare-const is_friend_a Bool) (assert (= a_friend_is is_friend_a)) (assert (= a_friend_is true)) (check-sat)
"Prove that if Alice is friends with Bob and Bob is friends with Charlie, then Alice is friends with Charlie",Use QF_UF with constraints that express the friendship relationships as valid integer solutions. Ensure the model is satisfiable by checking for consistency.,(set-logic QF_UF) (declare-const if_friend_is Bool) (declare-const is_friend_if Bool) (assert (= if_friend_is is_friend_if)) (assert (= if_friend_is true)) (check-sat)
Prove the following sentence is valid in QF_UF,Use the set-logic QF_UF and assert statements to derive the sentence.,(set-logic QF_LIA) (declare-const in Int) (assert (and (>= in 0) (<= in 10))) (check-sat)
